Date,Equipe,Type_Pari,Cote,Resultat
2026-02-22,Mallorca,"-3,5 buts",1.3,En attente
2026-02-15,Mallorce,"-3,5 Buts",1.31,Gagné
2026-02-14,Benefica B,"+0,5 But MT",1.37,Gagné
2026-02-14,Levadiakos,"-3,5 Buts",1.31,Gagné
2026-02-13,Santa Clara,"+1,5 Buts",1.43,Gagné
2026-02-13,Elche,"-3,5 Buts ",1.3,Gagné
2026-02-09,Benefica B,"+0,5 But MT",1.25,Perdu
2026-02-08,Nice,"-4,5 Buts",1.27,Gagné
2026-02-08,USG,"+1,5 Buts",1.01,Gagné
2026-02-08,Levadiakos,"-3,5 Buts",1.3,Perdu
2026-02-07,Elche,"-3,5 Buts",1.3,Perdu
2026-02-01,Levadiakos,"-3,5 Buts",1.3,Perdu
2026-02-01,Man City,"+1,5 Buts",1.2,Gagné
2026-02-01,OHL,"+1,5 Buts",1.33,Gagné
